Country,Country Code,Year,Level of Internet Penetration
Austria,AUT,2002,36.56
Austria,AUT,2003,42.7
Austria,AUT,2004,54.28
Austria,AUT,2005,58.0
Austria,AUT,2006,63.6
Austria,AUT,2007,69.37
Austria,AUT,2008,72.87
Austria,AUT,2009,73.45
Austria,AUT,2010,75.17
Austria,AUT,2011,78.74
Austria,AUT,2012,80.03
Austria,AUT,2013,80.6188
Austria,AUT,2014,80.9958
Austria,AUT,2015,83.9401
Austria,AUT,2016,84.3237
Austria,AUT,2017,87.9356
Austria,AUT,2018,87.4791
Austria,AUT,2019,87.7522
Austria,AUT,2020,87.5294
Austria,AUT,2021,92.5292
Austria,AUT,2022,93.6141
Austria,AUT,2023,95.3347
Belgium,BEL,2002,46.33
Belgium,BEL,2003,49.97
Belgium,BEL,2004,53.86
Belgium,BEL,2005,55.82
Belgium,BEL,2006,61.9819
Belgium,BEL,2007,66.7604
Belgium,BEL,2008,68.8573
Belgium,BEL,2009,74.5441
Belgium,BEL,2010,77.6398
Belgium,BEL,2011,81.61
Belgium,BEL,2012,80.72
Belgium,BEL,2013,82.1702
Belgium,BEL,2014,85.0012
Belgium,BEL,2015,85.0529
Belgium,BEL,2016,86.5165
Belgium,BEL,2017,87.6797
Belgium,BEL,2018,88.6473
Belgium,BEL,2019,90.2754
Belgium,BEL,2020,91.5264
Belgium,BEL,2021,92.7887
Belgium,BEL,2022,94.0078
Belgium,BEL,2023,94.6263
Bulgaria,BGR,2002,9.08
Bulgaria,BGR,2003,12.04
Bulgaria,BGR,2004,18.13
Bulgaria,BGR,2005,19.97
Bulgaria,BGR,2006,27.09
Bulgaria,BGR,2007,33.64
Bulgaria,BGR,2008,39.67
Bulgaria,BGR,2009,45.0
Bulgaria,BGR,2010,46.23
Bulgaria,BGR,2011,47.98
Bulgaria,BGR,2012,51.9
Bulgaria,BGR,2013,53.0615
Bulgaria,BGR,2014,55.4904
Bulgaria,BGR,2015,56.6563
Bulgaria,BGR,2016,59.8255
Bulgaria,BGR,2017,63.4101
Bulgaria,BGR,2018,64.782
Bulgaria,BGR,2019,67.947
Bulgaria,BGR,2020,70.1625
Bulgaria,BGR,2021,75.2714
Bulgaria,BGR,2022,79.1269
Bulgaria,BGR,2023,80.3896
Croatia,HRV,2002,17.76
Croatia,HRV,2003,22.75
Croatia,HRV,2004,30.91
Croatia,HRV,2005,33.14
Croatia,HRV,2006,37.98
Croatia,HRV,2007,41.44
Croatia,HRV,2008,44.24
Croatia,HRV,2009,50.58
Croatia,HRV,2010,56.55
Croatia,HRV,2011,57.79
Croatia,HRV,2012,61.94
Croatia,HRV,2013,66.7476
Croatia,HRV,2014,68.5679
Croatia,HRV,2015,69.845
Croatia,HRV,2016,72.6973
Croatia,HRV,2017,67.0962
Croatia,HRV,2018,75.2946
Croatia,HRV,2019,79.0798
Croatia,HRV,2020,78.3209
Croatia,HRV,2021,81.254
Croatia,HRV,2022,82.0716
Croatia,HRV,2023,83.2412
Cyprus,CYP,2002,28.32
Cyprus,CYP,2003,30.09
Cyprus,CYP,2004,33.83
Cyprus,CYP,2005,32.81
Cyprus,CYP,2006,35.83
Cyprus,CYP,2007,40.77
Cyprus,CYP,2008,42.31
Cyprus,CYP,2009,49.81
Cyprus,CYP,2010,52.99
Cyprus,CYP,2011,56.8599
Cyprus,CYP,2012,60.6899
Cyprus,CYP,2013,65.4548
Cyprus,CYP,2014,69.3287
Cyprus,CYP,2015,71.7157
Cyprus,CYP,2016,75.9002
Cyprus,CYP,2017,80.7432
Cyprus,CYP,2018,84.4336
Cyprus,CYP,2019,86.0636
Cyprus,CYP,2020,90.8019
Cyprus,CYP,2021,90.7595
Cyprus,CYP,2022,89.601
Cyprus,CYP,2023,91.2212
Czechia,CZE,2002,23.93
Czechia,CZE,2003,34.3
Czechia,CZE,2004,35.5
Czechia,CZE,2005,35.27
Czechia,CZE,2006,47.93
Czechia,CZE,2007,51.93
Czechia,CZE,2008,62.97
Czechia,CZE,2009,64.43
Czechia,CZE,2010,68.82
Czechia,CZE,2011,70.49
Czechia,CZE,2012,73.43
Czechia,CZE,2013,74.1104
Czechia,CZE,2014,74.2317
Czechia,CZE,2015,75.6688
Czechia,CZE,2016,76.4812
Czechia,CZE,2017,78.7192
Czechia,CZE,2018,80.6882
Czechia,CZE,2019,80.8669
Czechia,CZE,2020,81.3389
Czechia,CZE,2021,82.6706
Czechia,CZE,2022,84.5401
Czechia,CZE,2023,85.9941
Denmark,DNK,2002,64.25
Denmark,DNK,2003,76.26
Denmark,DNK,2004,80.93
Denmark,DNK,2005,82.74
Denmark,DNK,2006,86.65
Denmark,DNK,2007,85.03
Denmark,DNK,2008,85.02
Denmark,DNK,2009,86.84
Denmark,DNK,2010,88.72
Denmark,DNK,2011,89.81
Denmark,DNK,2012,92.26
Denmark,DNK,2013,94.6297
Denmark,DNK,2014,95.9935
Denmark,DNK,2015,96.3305
Denmark,DNK,2016,96.9678
Denmark,DNK,2017,97.0994
Denmark,DNK,2018,97.3192
Denmark,DNK,2019,98.0464
Denmark,DNK,2020,96.5491
Denmark,DNK,2021,98.8659
Denmark,DNK,2022,97.8601
Denmark,DNK,2023,98.7756
Estonia,EST,2002,41.52
Estonia,EST,2003,45.32
Estonia,EST,2004,53.2
Estonia,EST,2005,61.45
Estonia,EST,2006,63.51
Estonia,EST,2007,66.19
Estonia,EST,2008,70.58
Estonia,EST,2009,72.5
Estonia,EST,2010,74.1
Estonia,EST,2011,76.5
Estonia,EST,2012,78.3899
Estonia,EST,2013,80.0043
Estonia,EST,2014,84.2415
Estonia,EST,2015,88.4097
Estonia,EST,2016,87.2402
Estonia,EST,2017,88.1025
Estonia,EST,2018,89.357
Estonia,EST,2019,90.2289
Estonia,EST,2020,89.0583
Estonia,EST,2021,90.9797
Estonia,EST,2022,91.5202
Estonia,EST,2023,93.1834
Finland,FIN,2002,62.43
Finland,FIN,2003,69.22
Finland,FIN,2004,72.39
Finland,FIN,2005,74.48
Finland,FIN,2006,79.66
Finland,FIN,2007,80.78
Finland,FIN,2008,83.67
Finland,FIN,2009,82.49
Finland,FIN,2010,86.89
Finland,FIN,2011,88.71
Finland,FIN,2012,89.88
Finland,FIN,2013,91.5144
Finland,FIN,2014,86.5304
Finland,FIN,2015,86.4221
Finland,FIN,2016,87.7036
Finland,FIN,2017,87.4689
Finland,FIN,2018,88.89
Finland,FIN,2019,89.6074
Finland,FIN,2020,92.1703
Finland,FIN,2021,92.8081
Finland,FIN,2022,92.9888
Finland,FIN,2023,93.5139
France,FRA,2002,30.18
France,FRA,2003,36.14
France,FRA,2004,39.15
France,FRA,2005,42.87
France,FRA,2006,46.87
France,FRA,2007,66.09
France,FRA,2008,70.68
France,FRA,2009,71.58
France,FRA,2010,77.28
France,FRA,2011,77.82
France,FRA,2012,81.44
France,FRA,2013,81.9198
France,FRA,2014,83.7511
France,FRA,2015,78.006
France,FRA,2016,79.2698
France,FRA,2017,80.5025
France,FRA,2018,82.0432
France,FRA,2019,83.3397
France,FRA,2020,84.7064
France,FRA,2021,86.0955
France,FRA,2022,85.3333
France,FRA,2023,86.8364
Germany,DEU,2002,48.82
Germany,DEU,2003,55.9
Germany,DEU,2004,64.73
Germany,DEU,2005,68.71
Germany,DEU,2006,72.16
Germany,DEU,2007,75.16
Germany,DEU,2008,78.0
Germany,DEU,2009,79.0
Germany,DEU,2010,82.0
Germany,DEU,2011,81.27
Germany,DEU,2012,82.35
Germany,DEU,2013,84.17
Germany,DEU,2014,86.1937
Germany,DEU,2015,87.5898
Germany,DEU,2016,84.1652
Germany,DEU,2017,84.3942
Germany,DEU,2018,87.0371
Germany,DEU,2019,88.1345
Germany,DEU,2020,89.8129
Germany,DEU,2021,91.4306
Germany,DEU,2022,91.6298
Germany,DEU,2023,92.4764
Greece,GRC,2002,14.67
Greece,GRC,2003,17.8
Greece,GRC,2004,21.42
Greece,GRC,2005,24.0
Greece,GRC,2006,32.25
Greece,GRC,2007,35.88
Greece,GRC,2008,38.2
Greece,GRC,2009,42.4
Greece,GRC,2010,44.4
Greece,GRC,2011,51.65
Greece,GRC,2012,55.07
Greece,GRC,2013,59.8663
Greece,GRC,2014,63.2073
Greece,GRC,2015,66.835
Greece,GRC,2016,69.0879
Greece,GRC,2017,69.893
Greece,GRC,2018,72.2384
Greece,GRC,2019,75.6712
Greece,GRC,2020,78.1158
Greece,GRC,2021,78.4943
Greece,GRC,2022,83.1707
Greece,GRC,2023,85.0102
Iceland,ISL,2002,79.12
Iceland,ISL,2003,83.14
Iceland,ISL,2004,83.88
Iceland,ISL,2005,87.0
Iceland,ISL,2006,89.51
Iceland,ISL,2007,90.6
Iceland,ISL,2008,91.0
Iceland,ISL,2009,93.0
Iceland,ISL,2010,93.39
Iceland,ISL,2011,94.8197
Iceland,ISL,2012,96.2098
Iceland,ISL,2013,96.5468
Iceland,ISL,2014,98.158
Iceland,ISL,2015,98.2
Iceland,ISL,2016,98.24
Iceland,ISL,2017,98.2552
Iceland,ISL,2018,99.011
Iceland,ISL,2019,99.5049
Iceland,ISL,2020,99.5328
Iceland,ISL,2021,99.687
Iceland,ISL,2022,99.8565
Ireland,IRL,2002,25.85
Ireland,IRL,2003,34.31
Ireland,IRL,2004,36.99
Ireland,IRL,2005,41.61
Ireland,IRL,2006,54.82
Ireland,IRL,2007,61.1583
Ireland,IRL,2008,65.34
Ireland,IRL,2009,67.38
Ireland,IRL,2010,69.85
Ireland,IRL,2011,74.89
Ireland,IRL,2012,76.92
Ireland,IRL,2013,78.2477
Ireland,IRL,2014,83.4917
Ireland,IRL,2015,83.4948
Ireland,IRL,2016,83.5
Ireland,IRL,2017,84.114
Ireland,IRL,2018,87.0001
Ireland,IRL,2019,87.0001
Ireland,IRL,2020,91.9999
Ireland,IRL,2021,94.456
Ireland,IRL,2022,95.5905
Israel,ISR,2002,17.7646
Israel,ISR,2003,19.5934
Israel,ISR,2004,22.7705
Israel,ISR,2005,25.194
Israel,ISR,2006,27.8811
Israel,ISR,2007,48.1281
Israel,ISR,2008,59.39
Israel,ISR,2009,63.12
Israel,ISR,2010,67.5
Israel,ISR,2011,68.8739
Israel,ISR,2012,70.8
Israel,ISR,2013,70.2503
Israel,ISR,2014,75.0178
Israel,ISR,2015,77.3521
Israel,ISR,2016,79.6531
Israel,ISR,2017,81.5812
Israel,ISR,2018,83.7332
Israel,ISR,2019,86.7879
Israel,ISR,2020,90.1273
Israel,ISR,2021,90.2969
Israel,ISR,2022,91.8508
Italy,ITA,2002,28.04
Italy,ITA,2003,29.04
Italy,ITA,2004,33.24
Italy,ITA,2005,35.0
Italy,ITA,2006,37.99
Italy,ITA,2007,40.79
Italy,ITA,2008,44.53
Italy,ITA,2009,48.83
Italy,ITA,2010,53.68
Italy,ITA,2011,54.39
Italy,ITA,2012,55.83
Italy,ITA,2013,58.4593
Italy,ITA,2014,55.6385
Italy,ITA,2015,58.1417
Italy,ITA,2016,61.3243
Italy,ITA,2017,63.0773
Italy,ITA,2018,74.3872
Italy,ITA,2019,67.8507
Italy,ITA,2020,70.4834
Italy,ITA,2021,74.8623
Italy,ITA,2022,85.0607
Italy,ITA,2023,87.0278
Latvia,LVA,2002,21.94
Latvia,LVA,2003,26.98
Latvia,LVA,2004,38.58
Latvia,LVA,2005,46.0
Latvia,LVA,2006,53.63
Latvia,LVA,2007,59.17
Latvia,LVA,2008,63.41
Latvia,LVA,2009,66.84
Latvia,LVA,2010,68.42
Latvia,LVA,2011,69.75
Latvia,LVA,2012,73.1199
Latvia,LVA,2013,75.2344
Latvia,LVA,2014,75.8261
Latvia,LVA,2015,79.2006
Latvia,LVA,2016,79.8421
Latvia,LVA,2017,80.1141
Latvia,LVA,2018,83.5772
Latvia,LVA,2019,86.1355
Latvia,LVA,2020,88.898
Latvia,LVA,2021,91.1796
Latvia,LVA,2022,91.0301
Latvia,LVA,2023,92.1879
Lithuania,LTU,2002,17.69
Lithuania,LTU,2003,25.91
Lithuania,LTU,2004,31.23
Lithuania,LTU,2005,36.22
Lithuania,LTU,2006,43.9
Lithuania,LTU,2007,49.9
Lithuania,LTU,2008,55.22
Lithuania,LTU,2009,59.76
Lithuania,LTU,2010,62.12
Lithuania,LTU,2011,63.64
Lithuania,LTU,2012,67.23
Lithuania,LTU,2013,68.4529
Lithuania,LTU,2014,72.1335
Lithuania,LTU,2015,71.3781
Lithuania,LTU,2016,74.3766
Lithuania,LTU,2017,77.6153
Lithuania,LTU,2018,79.7226
Lithuania,LTU,2019,81.5819
Lithuania,LTU,2020,83.0555
Lithuania,LTU,2021,86.9305
Lithuania,LTU,2022,87.7242
Lithuania,LTU,2023,88.5029
Luxembourg,LUX,2002,39.84
Luxembourg,LUX,2003,54.55
Luxembourg,LUX,2004,65.88
Luxembourg,LUX,2005,70.0
Luxembourg,LUX,2006,72.51
Luxembourg,LUX,2007,78.92
Luxembourg,LUX,2008,82.23
Luxembourg,LUX,2009,87.31
Luxembourg,LUX,2010,90.62
Luxembourg,LUX,2011,90.0299
Luxembourg,LUX,2012,91.9499
Luxembourg,LUX,2013,93.7765
Luxembourg,LUX,2014,94.6702
Luxembourg,LUX,2015,96.3767
Luxembourg,LUX,2016,98.1367
Luxembourg,LUX,2017,97.363
Luxembourg,LUX,2018,97.0613
Luxembourg,LUX,2019,97.1206
Luxembourg,LUX,2020,98.4596
Luxembourg,LUX,2021,98.6609
Luxembourg,LUX,2022,98.242
Luxembourg,LUX,2023,99.3479
Netherlands,NLD,2002,61.29
Netherlands,NLD,2003,64.35
Netherlands,NLD,2004,68.52
Netherlands,NLD,2005,81.0
Netherlands,NLD,2006,83.7
Netherlands,NLD,2007,85.82
Netherlands,NLD,2008,87.42
Netherlands,NLD,2009,89.63
Netherlands,NLD,2010,90.72
Netherlands,NLD,2011,91.42
Netherlands,NLD,2012,92.86
Netherlands,NLD,2013,93.9564
Netherlands,NLD,2014,91.6667
Netherlands,NLD,2015,91.7241
Netherlands,NLD,2016,90.411
Netherlands,NLD,2017,93.1973
Netherlands,NLD,2018,91.8919
Netherlands,NLD,2019,93.2886
Netherlands,NLD,2020,91.3333
Netherlands,NLD,2021,92.053
Netherlands,NLD,2022,92.5197
Netherlands,NLD,2023,97.0068
Norway,NOR,2002,72.84
Norway,NOR,2003,78.13
Norway,NOR,2004,77.69
Norway,NOR,2005,81.99
Norway,NOR,2006,82.55
Norway,NOR,2007,86.93
Norway,NOR,2008,90.57
Norway,NOR,2009,92.08
Norway,NOR,2010,93.39
Norway,NOR,2011,93.49
Norway,NOR,2012,94.65
Norway,NOR,2013,95.0534
Norway,NOR,2014,96.3005
Norway,NOR,2015,96.8103
Norway,NOR,2016,97.2982
Norway,NOR,2017,96.3576
Norway,NOR,2018,96.4917
Norway,NOR,2019,98.0
Norway,NOR,2020,94.6076
Norway,NOR,2021,99.0
Norway,NOR,2022,99.0
Norway,NOR,2023,99.0
Poland,POL,2002,21.15
Poland,POL,2003,24.87
Poland,POL,2004,32.53
Poland,POL,2005,38.81
Poland,POL,2006,44.58
Poland,POL,2007,48.6
Poland,POL,2008,53.13
Poland,POL,2009,58.97
Poland,POL,2010,62.32
Poland,POL,2011,61.95
Poland,POL,2012,62.31
Poland,POL,2013,62.8492
Poland,POL,2014,66.5987
Poland,POL,2015,67.997
Poland,POL,2016,73.3007
Poland,POL,2017,75.9854
Poland,POL,2018,77.5417
Poland,POL,2019,80.4359
Poland,POL,2020,83.1849
Poland,POL,2021,85.3749
Poland,POL,2022,86.9411
Poland,POL,2023,86.4147
Portugal,PRT,2002,19.37
Portugal,PRT,2003,29.67
Portugal,PRT,2004,31.78
Portugal,PRT,2005,34.99
Portugal,PRT,2006,38.01
Portugal,PRT,2007,42.09
Portugal,PRT,2008,44.13
Portugal,PRT,2009,48.27
Portugal,PRT,2010,53.3
Portugal,PRT,2011,55.25
Portugal,PRT,2012,60.34
Portugal,PRT,2013,62.0956
Portugal,PRT,2014,64.5924
Portugal,PRT,2015,68.6329
Portugal,PRT,2016,70.4236
Portugal,PRT,2017,73.7912
Portugal,PRT,2018,74.661
Portugal,PRT,2019,75.3464
Portugal,PRT,2020,78.2617
Portugal,PRT,2021,82.309
Portugal,PRT,2022,84.4969
Portugal,PRT,2023,85.7901
Romania,ROU,2002,6.58
Romania,ROU,2003,8.9
Romania,ROU,2004,15.0
Romania,ROU,2005,21.5
Romania,ROU,2006,24.66
Romania,ROU,2007,28.3
Romania,ROU,2008,32.42
Romania,ROU,2009,36.6
Romania,ROU,2010,39.93
Romania,ROU,2011,40.01
Romania,ROU,2012,45.88
Romania,ROU,2013,49.7645
Romania,ROU,2014,54.0783
Romania,ROU,2015,55.7632
Romania,ROU,2016,59.504
Romania,ROU,2017,63.7473
Romania,ROU,2018,70.6813
Romania,ROU,2019,73.6575
Romania,ROU,2020,78.4553
Romania,ROU,2021,83.5904
Romania,ROU,2022,85.5031
Romania,ROU,2023,89.2034
Slovenia,SVN,2002,27.8389
Slovenia,SVN,2003,31.8548
Slovenia,SVN,2004,40.81
Slovenia,SVN,2005,46.81
Slovenia,SVN,2006,54.01
Slovenia,SVN,2007,56.74
Slovenia,SVN,2008,58.0
Slovenia,SVN,2009,64.0
Slovenia,SVN,2010,70.0
Slovenia,SVN,2011,67.34
Slovenia,SVN,2012,68.35
Slovenia,SVN,2013,72.6756
Slovenia,SVN,2014,71.5863
Slovenia,SVN,2015,73.0987
Slovenia,SVN,2016,75.4985
Slovenia,SVN,2017,78.8854
Slovenia,SVN,2018,79.75
Slovenia,SVN,2019,83.1084
Slovenia,SVN,2020,86.6013
Slovenia,SVN,2021,89.004
Slovenia,SVN,2022,88.9125
Slovenia,SVN,2023,90.3779
Spain,ESP,2002,20.39
Spain,ESP,2003,39.93
Spain,ESP,2004,44.01
Spain,ESP,2005,47.88
Spain,ESP,2006,50.37
Spain,ESP,2007,55.11
Spain,ESP,2008,59.6
Spain,ESP,2009,62.4
Spain,ESP,2010,65.8
Spain,ESP,2011,67.09
Spain,ESP,2012,69.81
Spain,ESP,2013,71.635
Spain,ESP,2014,76.1867
Spain,ESP,2015,78.6896
Spain,ESP,2016,80.5613
Spain,ESP,2017,84.6022
Spain,ESP,2018,86.1072
Spain,ESP,2019,90.7187
Spain,ESP,2020,93.2056
Spain,ESP,2021,93.8975
Spain,ESP,2022,94.4855
Spain,ESP,2023,95.4456
Sweden,SWE,2002,70.57
Sweden,SWE,2003,79.13
Sweden,SWE,2004,83.89
Sweden,SWE,2005,84.83
Sweden,SWE,2006,87.76
Sweden,SWE,2007,82.01
Sweden,SWE,2008,90.0
Sweden,SWE,2009,91.0
Sweden,SWE,2010,90.0
Sweden,SWE,2011,92.77
Sweden,SWE,2012,93.18
Sweden,SWE,2013,94.7836
Sweden,SWE,2014,92.5236
Sweden,SWE,2015,90.6102
Sweden,SWE,2016,89.6509
Sweden,SWE,2017,93.0063
Sweden,SWE,2018,89.247
Sweden,SWE,2019,94.4934
Sweden,SWE,2020,94.5394
Sweden,SWE,2021,94.6703
Sweden,SWE,2022,95.0097
Sweden,SWE,2023,95.7033
Switzerland,CHE,2002,61.4
Switzerland,CHE,2003,65.1
Switzerland,CHE,2004,67.8
Switzerland,CHE,2005,70.1
Switzerland,CHE,2006,75.7
Switzerland,CHE,2007,77.2
Switzerland,CHE,2008,79.2
Switzerland,CHE,2009,81.3
Switzerland,CHE,2010,83.9
Switzerland,CHE,2011,85.193
Switzerland,CHE,2012,85.2
Switzerland,CHE,2013,86.34
Switzerland,CHE,2014,83.6173
Switzerland,CHE,2015,87.4791
Switzerland,CHE,2016,89.1347
Switzerland,CHE,2017,89.6861
Switzerland,CHE,2018,91.8
Switzerland,CHE,2019,93.1461
Switzerland,CHE,2020,94.3499
Switzerland,CHE,2021,95.5694
Switzerland,CHE,2022,96.8046
Switzerland,CHE,2023,97.3444
United Kingdom,GBR,2002,56.48
United Kingdom,GBR,2003,64.82
United Kingdom,GBR,2004,65.61
United Kingdom,GBR,2005,70.0
United Kingdom,GBR,2006,68.82
United Kingdom,GBR,2007,75.09
United Kingdom,GBR,2008,78.39
United Kingdom,GBR,2009,83.56
United Kingdom,GBR,2010,85.0
United Kingdom,GBR,2011,85.38
United Kingdom,GBR,2012,87.48
United Kingdom,GBR,2013,89.8441
United Kingdom,GBR,2014,91.6133
United Kingdom,GBR,2015,92.0003
United Kingdom,GBR,2016,94.7758
United Kingdom,GBR,2017,90.4246
United Kingdom,GBR,2018,90.692
United Kingdom,GBR,2019,92.5166
United Kingdom,GBR,2020,94.8182
United Kingdom,GBR,2021,95.2591
United Kingdom,GBR,2022,95.3412
